,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,required_masks,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
0,01001,AL,autauga county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
1,01003,AL,baldwin county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
2,01005,AL,barbour county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
3,01007,AL,bibb county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
4,01009,AL,blount county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
5,01011,AL,bullock county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
6,01013,AL,butler county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
7,01015,AL,calhoun county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
8,01017,AL,chambers county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
9,01019,AL,cherokee county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
10,01021,AL,chilton county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
11,01023,AL,choctaw county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
12,01025,AL,clarke county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
13,01027,AL,clay county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
14,01029,AL,cleburne county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
15,01031,AL,coffee county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
16,01033,AL,colbert county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
17,01035,AL,conecuh county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
18,01037,AL,coosa county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
19,01039,AL,covington county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
20,01041,AL,crenshaw county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
21,01043,AL,cullman county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
22,01045,AL,dale county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
23,01047,AL,dallas county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
24,01049,AL,dekalb county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
25,01051,AL,elmore county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
26,01053,AL,escambia county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
27,01055,AL,etowah county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
28,01057,AL,fayette county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
29,01059,AL,franklin county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
30,01061,AL,geneva county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
31,01063,AL,greene county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
32,01065,AL,hale county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
33,01067,AL,henry county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
34,01069,AL,houston county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
35,01071,AL,jackson county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
36,01073,AL,jefferson county,737510,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
37,01075,AL,lamar county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
38,01077,AL,lauderdale county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
39,01079,AL,lawrence county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
40,01081,AL,lee county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
41,01083,AL,limestone county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
42,01085,AL,lowndes county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
43,01087,AL,macon county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
44,01089,AL,madison county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
45,01091,AL,marengo county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
46,01093,AL,marion county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
47,01095,AL,marshall county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
48,01097,AL,mobile county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
49,01099,AL,monroe county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
50,01101,AL,montgomery county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
51,01103,AL,morgan county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
52,01105,AL,perry county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
53,01107,AL,pickens county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
54,01109,AL,pike county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
55,01111,AL,randolph county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
56,01113,AL,russell county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
57,01115,AL,st. clair county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
58,01117,AL,shelby county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
59,01119,AL,sumter county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
60,01121,AL,talladega county,737519,737504,737497,737500,737503,737512,737500,737495,737621,737545,740000,740000,737556,737556
